converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
True,,,77,4.552468274998163e-06,0.00013219277706195317,ID,0.00027700710157877774,2.5571742346496676e-07,0.00046966619419849587,76313.74927090893,26.0,0.00040685674595126173
True,,,78,2.5025395338309193e-05,1.3505134382385342e-05,ID,0.00032130888238107437,2.851151393176118e-07,0.00014785696108058125,76400.86390231267,10.0,0.00040685674595126173
False,penalty-trap,10000000000000.0,79,0.00031000513383016225,0.00030337462984444616,ID,,,,,,
False,penalty-trap,10000000000000.0,80,1.2556635361993149e-06,9.722277475356474e-05,ID,,,,,,
False,penalty-trap,1368729895155.7644,81,0.0002894418779652185,1.4847685203374897e-05,ID,,,,,,
True,,,82,3.8683794022516e-06,0.0004927164566141472,ID,0.0004818069653287306,2.3448222704109716e-07,0.00018394703687918407,76343.4067776555,3.0,0.00040685674595126173
False,penalty-trap,77422326534.37782,83,4.987739433794366e-05,7.144844120814117e-06,ID,,,,,,
True,,,84,0.00010527091859087323,9.460436763375337e-05,ID,0.00027217813401904183,2.526943993250135e-07,0.0004673730566498242,76404.9588970671,22.0,0.00040685674595126173
False,penalty-trap,73703083498.6226,85,1.7756935987663593e-05,1.3171232734986884e-06,ID,,,,,,
False,penalty-trap,10000000000000.0,86,4.5861119129164616e-05,4.5826251670455585e-05,ID,,,,,,
True,,,87,2.919314056800821e-06,3.470998975402235e-05,ID,0.00026204577589121296,2.439966153043096e-07,0.00017314122266422506,76294.31987979433,19.0,0.00040685674595126173
True,,,88,7.215500931150747e-05,3.6028808893673238e-06,ID,0.0002881377365165708,2.861283991921565e-07,0.0005049274548385717,76382.26269950645,49.0,0.00040685674595126173
True,,,89,9.403051701636171e-05,3.581007535752146e-05,ID,0.0002676058507996042,2.762207451530716e-07,0.0001749918975419478,76154.54010780355,7.0,0.00040685674595126173
True,,,90,2.5089271924175136e-05,1.0113814978847465e-05,ID,0.00027072619572025613,2.7103272052309995e-07,0.00012906791253430955,76348.82244600733,7.0,0.00040685674595126173
