date,post_widening,stock_count,event_count,control_count,event_rate,upper_event_count,lower_event_count,touch_count,near_close_count,event_next_abs_mean,control_next_abs_mean,diff_next_abs,event_side_adj_next_ret_mean,event_continuation_share
2016-04-12,1,870,17,853,0.01954022988505747,8,9,13,11,0.03867005307480814,0.012691011330663648,0.025979041744144494,0.007394803379233781,0.4117647058823529
2016-04-13,1,874,12,862,0.013729977116704805,10,2,11,9,0.029853104217443666,0.011038732345335044,0.01881437187210862,0.0038412297485220866,0.5
2016-04-14,1,872,13,859,0.014908256880733946,12,1,11,10,0.02671724393858567,0.010802805301368769,0.0159144386372169,-0.005106676526701456,0.38461538461538464
2016-04-15,1,872,7,865,0.008027522935779817,6,1,6,7,0.06493314683430418,0.010894606872998914,0.05403853996130527,0.04332228566654125,0.5714285714285714
2016-04-18,1,870,12,858,0.013793103448275862,11,1,12,10,0.03898380200337007,0.01012648809708719,0.028857313906282885,0.02028175123665203,0.5
2016-04-19,1,869,6,863,0.006904487917146145,5,1,2,5,0.05056996881615932,0.013910495572734598,0.03665947324342472,-0.01627182776194836,0.16666666666666666
2016-04-20,1,869,3,866,0.0034522439585730723,2,1,2,2,,,,,
2016-04-21,1,870,13,857,0.014942528735632184,9,4,10,9,0.03221832483598326,0.014267997489276348,0.017950327346706915,0.0014696821666952344,0.23076923076923078
2016-04-22,1,869,9,860,0.010356731875719217,2,7,9,5,0.041001838301170046,0.01121212214682665,0.029789716154343397,-0.035581515384690246,0.1111111111111111
2016-04-25,1,871,11,860,0.012629161882893225,7,4,10,7,0.04378086876410342,0.010228486662660637,0.03355238210144278,-0.007393547963689919,0.45454545454545453
2016-04-26,1,871,8,863,0.009184845005740528,7,1,7,5,0.03071253430041176,0.009327429562220164,0.021385104738191597,-0.0041070511353878385,0.25
2016-04-27,1,869,4,865,0.004602991944764097,3,1,2,4,,,,,
2016-04-28,1,868,3,865,0.0034562211981566822,3,0,2,3,,,,,
2016-04-29,1,872,7,865,0.008027522935779817,4,3,7,5,0.05614359456441146,0.014696181731601667,0.041447412832809796,-0.01944641990930854,0.2857142857142857
2016-05-03,1,866,10,856,0.011547344110854504,3,7,8,7,0.03582662104676017,0.016037069410887072,0.019789551635873096,0.014129928734810993,0.5
2016-05-04,1,862,6,856,0.0069605568445475635,2,4,5,5,0.05885024158134123,0.013078295166621786,0.04577194641471945,0.04133037721282028,0.6666666666666666
2016-05-05,1,864,17,847,0.019675925925925927,8,9,15,13,0.035661965772490485,0.011720820433124913,0.023941145339365574,0.003860208201665906,0.47058823529411764
2016-05-06,1,867,8,859,0.00922722029988466,2,6,6,6,0.0511341153071731,0.013910137321287269,0.03722397798588583,0.009524627194117855,0.5
2016-05-09,1,869,14,855,0.01611047180667434,5,9,12,11,0.049770677047066565,0.013687262496516996,0.03608341455054957,0.00729016709931807,0.42857142857142855
2016-05-10,1,867,20,847,0.02306805074971165,10,10,18,13,0.028689343049041284,0.013614695386431973,0.015074647662609311,0.0013605027398368565,0.5
2016-05-11,1,864,15,849,0.017361111111111112,8,7,13,13,0.045520095757380474,0.015936597697825607,0.029583498059554868,0.028676401140969966,0.6666666666666666
2016-05-12,1,864,15,849,0.017361111111111112,5,10,12,8,0.04466496279541201,0.016888336470562294,0.027776626324849715,-0.020002922388668923,0.4
2016-05-13,1,866,22,844,0.025404157043879907,3,19,18,15,0.03424972677686046,0.014431562439574561,0.0198181643372859,-0.008351247599521812,0.3181818181818182
2016-05-16,1,869,10,859,0.011507479861910242,6,4,10,4,0.046970024975541216,0.014484929479616212,0.032485095495925,-0.017094544760621066,0.2
2016-05-17,1,864,11,853,0.01273148148148148,10,1,11,9,0.030543746267769865,0.01036201639130183,0.020181729876468036,0.014458750919091334,0.5454545454545454
2016-05-18,1,865,10,855,0.011560693641618497,4,6,8,6,0.05584774959305493,0.009915480996146735,0.04593226859690819,0.025100491159559403,0.5
2016-05-19,1,863,5,858,0.005793742757821553,3,2,4,5,0.029920163713141497,0.008162517396808273,0.021757646316333222,0.012525429928909862,0.4
2016-05-20,1,868,4,864,0.004608294930875576,2,2,4,1,,,,,
2016-05-23,1,867,12,855,0.01384083044982699,11,1,12,10,0.03701062037870235,0.009283507242850432,0.027727113135851918,0.003968513903266275,0.4166666666666667
2016-05-24,1,870,7,863,0.008045977011494253,3,4,5,4,0.032262555224640416,0.010993233224109809,0.021269322000530607,0.024111043377574023,0.5714285714285714
2016-05-25,1,866,11,855,0.012702078521939953,9,2,10,10,0.03232044667384924,0.009415067439839121,0.02290537923401012,0.029824909986763227,0.7272727272727273
2016-05-26,1,865,8,857,0.009248554913294798,5,3,8,6,0.03934046220326575,0.009527196076509063,0.029813266126756686,0.03309013665191146,0.625
2016-05-27,1,864,7,857,0.008101851851851851,7,0,6,6,0.03270914984256215,0.010838173880783175,0.021870975961778977,0.006375912963582296,0.5714285714285714
2016-05-30,1,869,11,858,0.012658227848101266,10,1,11,9,0.04060265771053527,0.00983207339200451,0.03077058431853076,0.019691578285604135,0.6363636363636364
2016-05-31,1,871,8,863,0.009184845005740528,6,2,5,7,0.03521616869069294,0.011364175155785042,0.023851993534907898,0.00923757040632867,0.25
2016-06-01,1,874,13,861,0.014874141876430207,12,1,11,11,0.03308621215317498,0.012024947087030294,0.02106126506614469,-0.01546785843557825,0.23076923076923078
2016-06-02,1,874,9,865,0.010297482837528604,6,3,8,6,0.04637012875954824,0.009328758668101069,0.03704137009144717,-0.014613026359574281,0.3333333333333333
