date,news_count,gdelt_total,news_share,log_news_share,news_z
2025-08-20,2210,176652,0.012510472567533909,-4.381189180034215,-0.13693862543104965
2025-08-21,2189,180322,0.012139395082130855,-4.41129932308231,-0.3040967438929663
2025-08-22,2184,182051,0.011996638304650895,-4.423128809720127,-0.3687210777722829
2025-08-23,1323,117052,0.011302668899292621,-4.482716395373204,-0.7218231661595095
2025-08-24,1678,132230,0.012690009831354458,-4.366940222523717,-0.019772808984493125
2025-08-25,1863,144338,0.012907203924122545,-4.349969679755753,0.08801810500384849
2025-08-26,2396,184199,0.013007671051417218,-4.342216014671616,0.1409393365521594
2025-08-27,2591,218753,0.01184440899096241,-4.435899337849425,-0.42729008121381173
2025-08-28,1975,178525,0.01106287634785044,-4.504160249082089,-0.8369759366653595
2025-08-29,2274,187618,0.012120372245733351,-4.412867585468278,-0.27528061857525044
2025-08-30,1462,135483,0.0107910217518065,-4.529040809866634,-0.9783516681315916
2025-08-31,1225,105263,0.011637517456276185,-4.453521136377827,-0.5115933040872997
2025-09-01,1378,117273,0.01175036027047999,-4.443871377544571,-0.44858463810303884
2025-09-02,1505,151577,0.009928947003833035,-4.612300848457964,-1.4703348840280528
2025-09-03,1349,127947,0.01054342813821348,-4.55225253844645,-1.1016467724050678
2025-09-04,1821,190882,0.009539925189384017,-4.652269635336335,-1.7163072628615028
2025-09-05,1919,192400,0.009974012474012474,-4.607772321206043,-1.4286533781167274
2025-09-06,1690,155749,0.010850791979402757,-4.523517208166222,-0.9053470232161136
2025-09-07,1065,115827,0.00919474733870341,-4.689122899421555,-1.9075558208137797
2025-09-08,1976,181958,0.010859648929972852,-4.5227012918890335,-0.8779637199890069
2025-09-09,2227,201360,0.01105979340484704,-4.50443896255183,-0.7601665419334
2025-09-10,2021,172778,0.011697091064834643,-4.448415095028437,-0.41916490700137016
2025-09-11,1775,151643,0.01170512321702947,-4.447728651223293,-0.41289079014624974
2025-09-12,2320,203527,0.011398979005242548,-4.4742314885361445,-0.5690138246300792
2025-09-13,1693,136481,0.012404657058491659,-4.389683307646418,-0.050577603649125065
2025-09-14,1111,125364,0.008862193293130404,-4.725960994985878,-2.091106814657652
2025-09-15,2340,190920,0.01225644248900063,-4.401703562768086,-0.10886591740313473
2025-09-16,2341,170731,0.013711628233888398,-4.2895110299586445,0.5672565565091316
2025-09-17,2300,156675,0.014680070209031434,-4.221264473175635,0.9740329816554651
2025-09-18,2179,141354,0.015415198720941749,-4.17240132632642,1.2617886489059251
2025-09-19,2160,194001,0.011133963226993676,-4.497755091993144,-0.7082882802429528
2025-09-20,1609,146366,0.01099299017531394,-4.51049746610782,-0.7823187284331072
2025-09-21,1613,144592,0.011155527276751134,-4.495820184016528,-0.6913087674808573
2025-09-22,2746,180695,0.015196878718282188,-4.186665219698022,1.1689350857648158
2025-09-23,3266,208467,0.015666748214345674,-4.156214760782735,1.3454405721684441
2025-09-24,3324,199136,0.016692109914832075,-4.092819131393606,1.7135480882214158
2025-09-25,3380,198782,0.017003551629423186,-4.0743330373687,1.806754674452388
2025-09-26,2643,204867,0.012901052878208788,-4.350446352479318,0.15710341043935627
2025-09-27,1964,149454,0.013141167181875359,-4.3320054432437844,0.26975541511726914
2025-09-28,1702,140840,0.012084635046861686,-4.4158204641356695,-0.22789609716712633
2025-09-29,1797,160416,0.01120212447636146,-4.491651833279671,-0.6766006970148867
2025-09-30,2113,191942,0.011008533827927186,-4.509084504424168,-0.7793353341230748
2025-10-01,1604,134203,0.011952042800831576,-4.4268530695378825,-0.28600777356113133
2025-10-02,1968,167839,0.0117255226735145,-4.445987387944886,-0.4010602711696181
2025-10-03,1874,155129,0.01208026867961503,-4.416181845032825,-0.2177790214421467
2025-10-04,856,93026,0.009201728549007804,-4.688363926813744,-1.8420017620682951
2025-10-05,1047,98637,0.010614678061984854,-4.545517512879881,-0.9731669307853924
2025-10-06,1734,155385,0.0111593783183705,-4.495475029819825,-0.6694973462401616
2025-10-07,1845,160658,0.011484021959690772,-4.466798604526369,-0.4930143889684657
2025-10-08,2211,188586,0.011724094047278165,-4.446109234391684,-0.35711940163528477
2025-10-09,2317,199353,0.01162259910811475,-4.4548038771728455,-0.4062581901487691
2025-10-10,2681,214290,0.0125110831116711,-4.3811403785811684,0.06577034699270737
2025-10-11,1459,133634,0.010917880180193663,-4.517353450202514,-0.7940433342337451
2025-10-12,1352,128616,0.010511911426261119,-4.555246243239886,-1.0301125618669429
2025-10-13,2213,179288,0.012343268930435946,-4.394644390364374,0.010591828755505947
2025-10-14,2958,211408,0.013991901914780898,-4.269276551383253,0.8278064953698953
2025-10-15,1743,131390,0.013265849760255728,-4.322562233115847,0.4803305003434375
2025-10-16,2327,188672,0.012333573609226595,-4.3954301733666075,0.007093760478230625
2025-10-17,2353,190877,0.012327310257390886,-4.395938131800235,0.01147535453106066
2025-10-18,1539,126870,0.01213052731142114,-4.412030085295765,-0.08113520877563865
2025-10-19,1312,131424,0.009982955928901876,-4.606876047252251,-1.391995459705944
2025-10-20,1751,160448,0.010913193059433586,-4.5177828492321135,-0.7788428223378097
2025-10-21,2194,196008,0.011193420676707073,-4.492429112871045,-0.5990063611250241
2025-10-22,2349,193794,0.012121118300876189,-4.412806033548305,-0.052175548716904954
2025-10-23,2752,230154,0.011957211258548624,-4.426420730010708,-0.14463293243442155
2025-10-24,2373,200385,0.0118422037577663,-4.4360855386562585,-0.2090704172497881
2025-10-25,1672,172045,0.009718387631143015,-4.633735555839308,-1.5618630612282565
2025-10-26,1253,139916,0.00895537322393436,-4.715501566623341,-2.1205397270116952
2025-10-27,1825,149363,0.012218554796033823,-4.40479959769628,0.038841537598321395
2025-10-28,2325,154965,0.01500338786177524,-4.199479245930199,1.4631849240316646
2025-10-29,2764,186021,0.014858537476951527,-4.209180664660495,1.3949692756478969
2025-10-30,2641,210826,0.012526917932323339,-4.379875515404946,0.20881009338201903
2025-10-31,1880,163618,0.011490178342236184,-4.466262665724421,-0.3863347632956849
2025-11-01,1995,159705,0.012491781722550954,-4.382684313092852,0.19166676269715896
2025-11-02,1611,122152,0.013188486475866134,-4.328411066686373,0.5642890497416909
2025-11-03,1737,132496,0.013109829730708851,-4.334392969032376,0.5282088143102943
2025-11-04,2924,179876,0.01625564277613467,-4.119315182720808,2.0102832326546376
2025-11-05,2195,143915,0.015252058506757461,-4.183040800988574,1.5492625228841086
2025-11-06,3624,204945,0.01768279294444851,-4.035163262277828,2.54254494904549
2025-11-07,3000,172637,0.017377503084506796,-4.0525788354896175,2.3838145679670513
2025-11-08,2179,151320,0.014399947131905894,-4.240530743802346,1.096603468910788
2025-11-09,2166,137748,0.01572436623399251,-4.152543780292561,1.673970197051868
2025-11-10,2017,120645,0.016718471548758756,-4.091241090052067,2.063431161988125
