date,btc_usd_adj_close,spy_adj_close,vix_adj_close,btc_usd_close,spy_close,vix_close,btc_usd_high,spy_high,vix_high,btc_usd_low,spy_low,vix_low,btc_usd_open,spy_open,vix_open,btc_usd_volume,spy_volume,vix_volume
2015-03-29,242.71299743652344,,,242.71299743652344,,,253.13900756835938,,,240.85000610351562,,,252.74000549316406,,,21699400,,
2015-03-30,247.5260009765625,173.2301788330078,14.510000228881836,247.5260009765625,208.25,14.510000228881836,249.24200439453125,208.61000061035156,14.760000228881836,239.21400451660156,206.9600067138672,14.079999923706055,242.87899780273438,206.97999572753906,14.760000228881836,23009600,96180400.0,0.0
2015-03-31,244.2239990234375,171.71624755859375,15.289999961853027,244.2239990234375,206.42999267578125,15.289999961853027,248.72999572753906,208.10000610351562,15.739999771118164,242.73899841308594,206.36000061035156,14.329999923706055,247.45399475097656,207.25999450683594,14.970000267028809,22672000,126768700.0,0.0
2015-04-01,247.27200317382812,171.1090087890625,15.109999656677246,247.27200317382812,205.6999969482422,15.109999656677246,247.54100036621094,206.4199981689453,16.65999984741211,241.16000366210938,204.50999450683594,15.079999923706055,244.22300720214844,206.38999938964844,15.319999694824219,22877200,137303600.0,0.0
2015-04-02,253.0050048828125,171.72457885742188,14.670000076293945,253.0050048828125,206.44000244140625,14.670000076293945,254.46099853515625,206.97999572753906,15.510000228881836,245.41600036621094,205.39999389648438,14.270000457763672,247.08900451660156,205.6199951171875,15.300000190734863,26272600,86900900.0,0.0
2015-04-03,254.32200622558594,,,254.32200622558594,,,256.0429992675781,,,251.87899780273438,,,253.07400512695312,,,23146600,,
2015-04-04,253.69700622558594,,,253.69700622558594,,,255.25799560546875,,,251.10000610351562,,,254.29100036621094,,,12493500,,
2015-04-05,260.5979919433594,,,260.5979919433594,,,260.67498779296875,,,251.94200134277344,,,253.76100158691406,,,19649200,,
2015-04-06,255.49200439453125,172.88084411621094,14.739999771118164,255.49200439453125,207.8300018310547,14.739999771118164,261.7980041503906,208.4499969482422,15.760000228881836,254.5749969482422,205.2100067138672,14.039999961853027,260.72100830078125,205.3699951171875,15.75,20034200,114368200.0,0.0
2015-04-07,253.17999267578125,172.42333984375,14.779999732971191,253.17999267578125,207.27999877929688,14.779999732971191,255.80499267578125,208.75999450683594,14.8100004196167,252.2050018310547,207.24000549316406,14.010000228881836,255.2740020751953,207.86000061035156,14.569999694824219,18467400,81236300.0,0.0
2015-04-08,245.02200317382812,173.0055694580078,13.979999542236328,245.02200317382812,207.97999572753906,13.979999542236328,253.8470001220703,208.50999450683594,14.770000457763672,244.21499633789062,207.0800018310547,13.75,253.06399536132812,207.5500030517578,14.59000015258789,30086400,89351900.0,0.0
2015-04-09,243.67599487304688,173.7709197998047,13.09000015258789,243.67599487304688,208.89999389648438,13.09000015258789,246.1179962158203,209.17999267578125,14.59000015258789,239.39999389648438,207.19000244140625,13.09000015258789,244.75100708007812,207.77999877929688,14.140000343322754,21643500,85548900.0,0.0
2015-04-10,236.07200622558594,174.71917724609375,12.579999923706055,236.07200622558594,210.0399932861328,12.579999923706055,243.69400024414062,210.08999633789062,13.260000228881836,232.77099609375,208.9600067138672,12.510000228881836,243.69400024414062,209.1999969482422,13.199999809265137,28882000,72722900.0,0.0
2015-04-11,236.552001953125,,,236.552001953125,,,239.53700256347656,,,234.1750030517578,,,236.01600646972656,,,16365200,,
2015-04-12,236.1529998779297,,,236.1529998779297,,,237.72799682617188,,,233.4949951171875,,,236.53500366210938,,,12387900,,
2015-04-13,224.58700561523438,173.92893981933594,13.9399995803833,224.58700561523438,209.08999633789062,13.9399995803833,236.93499755859375,210.6300048828125,14.3100004196167,221.99600219726562,209.02999877929688,12.710000038146973,235.9499969482422,209.8699951171875,13.170000076293945,31181800,74436600.0,0.0
2015-04-14,219.15899658203125,174.2616729736328,13.670000076293945,219.15899658203125,209.49000549316406,13.670000076293945,224.9759979248047,209.7100067138672,14.739999771118164,216.322998046875,208.10000610351562,13.640000343322754,224.75900268554688,208.85000610351562,14.34000015258789,31719000,75099900.0,0.0
2015-04-15,223.83299255371094,175.0436553955078,12.84000015258789,223.83299255371094,210.42999267578125,12.84000015258789,223.83299255371094,211.0399932861328,13.579999923706055,218.6490020751953,209.9499969482422,12.829999923706055,219.072998046875,210.0500030517578,13.579999923706055,22562000,99529300.0,0.0
2015-04-16,228.572998046875,174.99363708496094,12.600000381469727,228.572998046875,210.3699951171875,12.600000381469727,229.6719970703125,210.97999572753906,13.350000381469727,223.91700744628906,209.7899932861328,12.5,223.91700744628906,210.02999877929688,13.270000457763672,24805400,68934900.0,0.0
2015-04-17,222.8820037841797,172.98060607910156,13.890000343322754,222.8820037841797,207.9499969482422,13.890000343322754,228.906005859375,209.22999572753906,15.020000457763672,221.94200134277344,207.00999450683594,13.729999542236328,228.5749969482422,208.94000244140625,13.970000267028809,20429800,191113200.0,0.0
2015-04-18,223.3560028076172,,,223.3560028076172,,,224.3159942626953,,,220.87600708007812,,,222.85299682617188,,,12939000,,
2015-04-19,222.60000610351562,,,222.60000610351562,,,226.35299682617188,,,222.3730010986328,,,223.45599365234375,,,15021500,,
2015-04-20,224.62600708007812,174.56114196777344,13.300000190734863,224.62600708007812,209.85000610351562,13.300000190734863,226.3509979248047,210.25,13.670000076293945,221.9770050048828,208.9600067138672,12.829999923706055,222.61199951171875,209.05999755859375,13.670000076293945,18364700,92189500.0,0.0
2015-04-21,235.2689971923828,174.35317993164062,13.25,235.2689971923828,209.60000610351562,13.25,235.2689971923828,210.86000061035156,13.510000228881836,224.30099487304688,209.24000549316406,12.65999984741211,224.6199951171875,210.6699981689453,12.75,24978000,72559800.0,0.0
2015-04-22,234.17599487304688,175.20994567871094,12.710000038146973,234.17599487304688,210.6300048828125,12.710000038146973,237.90899658203125,210.85000610351562,13.800000190734863,233.4759979248047,208.89999389648438,12.569999694824219,235.6020050048828,210.00999450683594,12.970000267028809,23847900,78264600.0,0.0
2015-04-23,236.46200561523438,175.65084838867188,12.479999542236328,236.46200561523438,211.16000366210938,12.479999542236328,236.47500610351562,211.94000244140625,12.960000038146973,233.19900512695312,210.00999450683594,12.119999885559082,234.05299377441406,210.14999389648438,12.960000038146973,17036000,102585900.0,0.0
2015-04-24,231.26800537109375,176.0584716796875,12.289999961853027,231.26800537109375,211.64999389648438,12.289999961853027,236.30499267578125,211.97000122070312,13.020000457763672,229.93299865722656,211.11000061035156,12.15999984741211,235.97000122070312,211.66000366210938,12.210000038146973,21448700,61327400.0,0.0
2015-04-25,226.38999938964844,,,226.38999938964844,,,232.56100463867188,,,226.33700561523438,,,231.23500061035156,,,13957200,,
2015-04-26,219.42999267578125,,,219.42999267578125,,,226.94400024414062,,,214.87399291992188,,,226.41000366210938,,,28943700,,
2015-04-27,229.28599548339844,175.3264617919922,13.119999885559082,229.28599548339844,210.77000427246094,13.119999885559082,233.30499267578125,212.47999572753906,13.399999618530273,218.0229949951172,210.5399932861328,12.329999923706055,219.4290008544922,212.3300018310547,12.34000015258789,38574000,79358100.0,0.0
2015-04-28,225.85499572753906,175.88375854492188,12.40999984741211,225.85499572753906,211.44000244140625,12.40999984741211,229.4949951171875,211.5,14.229999542236328,223.06900024414062,209.3300018310547,12.40999984741211,228.968994140625,210.74000549316406,13.260000228881836,21469200,86863500.0,0.0
2015-04-29,225.80799865722656,175.16004943847656,13.390000343322754,225.80799865722656,210.57000732421875,13.390000343322754,227.0399932861328,211.2899932861328,14.34000015258789,223.42999267578125,209.60000610351562,12.609999656677246,225.59100341796875,210.3699951171875,13.4399995803833,18936500,125684900.0,0.0
