date,exchange,asset,quote,open,high,low,close,volume
2025-03-29,kraken,BTC,USD,84373.9,84559.8,81655.0,82613.8,1157.08426174
2025-03-30,kraken,BTC,USD,82613.8,83500.0,81588.7,82325.4,916.37403895
2025-03-31,kraken,BTC,USD,82325.4,83870.8,81270.3,82523.0,1694.68667333
2025-04-01,kraken,BTC,USD,82523.0,85500.0,82415.9,85201.1,1757.72329983
2025-04-02,kraken,BTC,USD,85201.2,89042.7,82141.5,82508.1,3582.61285579
2025-04-03,kraken,BTC,USD,82508.1,83911.0,81177.7,83132.9,1942.46384857
2025-04-04,kraken,BTC,USD,83133.0,84709.7,81657.9,83840.8,1986.99314277
2025-04-05,kraken,BTC,USD,83840.8,84200.0,82400.0,83508.9,660.17840044
2025-04-06,kraken,BTC,USD,83508.9,83680.0,77057.7,78363.4,3692.97635392
2025-04-07,kraken,BTC,USD,78364.8,81323.6,74409.1,79130.1,5198.34711859
2025-04-08,kraken,BTC,USD,79130.1,80800.0,76164.6,76276.5,2455.53545248
2025-04-09,kraken,BTC,USD,76276.5,83548.9,74572.5,82556.3,5271.68867973
2025-04-10,kraken,BTC,USD,82556.3,82676.5,78451.2,79552.1,2270.09893668
2025-04-11,kraken,BTC,USD,79552.1,84261.7,78914.7,83420.1,3024.32123334
2025-04-12,kraken,BTC,USD,83420.1,85850.9,82750.0,85284.1,1932.99267705
2025-04-13,kraken,BTC,USD,85284.1,86037.9,83025.5,83719.0,1742.3412712
2025-04-14,kraken,BTC,USD,83719.8,85792.1,83708.2,84530.7,2420.34075325
2025-04-15,kraken,BTC,USD,84530.7,86401.0,83600.0,83633.5,1433.04466
2025-04-16,kraken,BTC,USD,83633.5,85419.7,83146.0,84023.8,1861.93037475
2025-04-17,kraken,BTC,USD,84027.5,85444.0,83777.2,84910.1,931.39734032
2025-04-18,kraken,BTC,USD,84910.1,85087.9,84295.4,84472.5,450.65472146
2025-04-19,kraken,BTC,USD,84472.5,85611.7,84384.6,85121.3,405.53513245
2025-04-20,kraken,BTC,USD,85121.3,85309.2,84007.4,85150.1,517.72668291
2025-04-21,kraken,BTC,USD,85150.0,88490.0,85150.0,87500.6,1901.27490018
2025-04-22,kraken,BTC,USD,87500.7,93888.0,87100.0,93472.0,2972.04826005
2025-04-23,kraken,BTC,USD,93472.0,94635.1,91949.5,93677.0,2009.60322068
2025-04-24,kraken,BTC,USD,93677.0,94000.0,91711.0,93999.9,1079.24734065
2025-04-25,kraken,BTC,USD,94000.0,95837.7,92900.0,94717.1,2253.19370406
2025-04-26,kraken,BTC,USD,94717.2,95189.5,93907.5,94663.5,499.11003555
2025-04-27,kraken,BTC,USD,94663.5,95348.5,93621.5,93817.0,532.00913019
2025-04-28,kraken,BTC,USD,93817.0,95600.0,92900.0,94998.1,1257.55300882
2025-04-29,kraken,BTC,USD,94998.1,95469.2,93809.5,94269.6,1566.10548205
2025-04-30,kraken,BTC,USD,94269.7,95195.0,92970.5,94205.4,1082.84442265
2025-05-01,kraken,BTC,USD,94205.4,97407.8,94148.3,96469.9,1646.02664605
2025-05-02,kraken,BTC,USD,96469.9,97885.0,96386.7,96920.7,1190.74799924
2025-05-03,kraken,BTC,USD,96920.7,96922.3,95785.9,95869.9,632.75891805
2025-05-04,kraken,BTC,USD,95869.9,96298.0,94153.2,94303.1,754.03636157
2025-05-05,kraken,BTC,USD,94303.1,95173.9,93570.1,94727.0,1059.28534793
2025-05-06,kraken,BTC,USD,94727.0,96877.8,93398.5,96816.7,1231.56700197
2025-05-07,kraken,BTC,USD,96816.7,97650.0,95824.0,97031.4,1362.55596122
2025-05-08,kraken,BTC,USD,97031.4,104082.5,96874.9,103228.0,2992.17010376
2025-05-09,kraken,BTC,USD,103228.0,104319.1,102344.7,102976.9,1329.71839936
2025-05-10,kraken,BTC,USD,102977.0,104943.7,102833.3,104800.0,696.03309136
2025-05-11,kraken,BTC,USD,104799.9,104919.7,103326.8,104119.0,779.51384444
2025-05-12,kraken,BTC,USD,104119.0,105728.8,100772.6,102825.0,1868.93678433
2025-05-13,kraken,BTC,USD,102825.1,104980.0,101525.1,104156.7,1104.39123118
2025-05-14,kraken,BTC,USD,104156.8,104280.1,102591.5,103589.7,1023.73775034
2025-05-15,kraken,BTC,USD,103589.7,104123.0,101441.6,103761.7,982.20702525
2025-05-16,kraken,BTC,USD,103761.7,104500.0,103130.0,103500.1,933.96180688
2025-05-17,kraken,BTC,USD,103500.1,103697.1,102690.0,103169.1,407.46473368
2025-05-18,kraken,BTC,USD,103169.1,106631.8,103148.2,106525.6,1948.9635636
2025-05-19,kraken,BTC,USD,106525.6,107042.1,102100.0,105637.7,2055.76779214
2025-05-20,kraken,BTC,USD,105637.7,107262.6,104269.0,106855.6,1713.73055867
2025-05-21,kraken,BTC,USD,106855.6,110698.0,106155.0,109675.1,3333.80572063
2025-05-22,kraken,BTC,USD,109675.1,111983.2,109287.2,111711.1,2139.00157259
2025-05-23,kraken,BTC,USD,111711.1,111785.3,106824.0,107333.5,2574.58399048
2025-05-24,kraken,BTC,USD,107333.5,109503.4,106905.8,107824.2,519.31653454
