date,rv_aligned,active_delivery,n_returns,anchor_ok,rolled
2023-03-06,4.737951961749902e-05,202303,229,True,False
2023-03-07,2.6459160213657545e-05,202303,229,True,False
2023-03-08,6.292620274310246e-05,202303,230,True,False
2023-03-09,4.0820544587690365e-05,202303,229,True,False
2023-03-10,7.609157576712685e-05,202303,229,True,False
2023-03-13,0.0001725154051202752,202303,228,True,False
2023-03-14,0.00014287726979752614,202303,229,True,False
2023-03-15,6.377251132183638e-05,202303,228,True,False
2023-03-16,0.00014731269063570596,202304,229,True,True
2023-03-17,7.299156503257271e-05,202304,229,True,False
2023-03-20,0.00013166760071540054,202304,229,True,False
2023-03-21,0.00010182050701180019,202304,230,True,False
2023-03-22,3.795813054446743e-05,202304,229,True,False
2023-03-23,0.00010771973320746954,202304,229,True,False
2023-03-24,7.452370880307608e-05,202304,229,True,False
2023-03-27,6.548069100900322e-05,202304,229,True,False
2023-03-28,6.514201414702252e-05,202304,230,True,False
2023-03-29,4.8520487153291444e-05,202304,229,True,False
2023-03-30,3.8754502470152185e-05,202304,229,True,False
2023-03-31,4.5344260458388796e-05,202304,229,True,False
2023-04-06,0.00012614265134468667,202304,229,True,False
2023-04-07,2.901917196408394e-05,202304,229,True,False
2023-04-10,2.3576137684534075e-05,202304,229,True,False
2023-04-11,5.539290240632359e-05,202304,229,True,False
2023-04-12,2.5079848516002017e-05,202304,229,True,False
2023-04-13,6.197448546517353e-05,202304,229,True,False
2023-04-14,3.281875416729658e-05,202304,229,True,False
2023-04-17,2.869500802487403e-05,202304,229,True,False
2023-04-18,2.3098758670435748e-05,202304,229,True,False
2023-04-19,3.176159018551914e-05,202304,229,True,False
2023-04-20,6.367668374073698e-05,202305,229,True,True
2023-04-21,5.309584150037823e-05,202305,229,True,False
2023-04-24,4.4949888700506495e-05,202305,229,True,False
2023-04-25,4.658061374073495e-05,202305,229,True,False
2023-04-26,9.653937704409651e-05,202305,229,True,False
2023-04-27,4.1713919388815695e-05,202305,229,True,False
2023-04-28,3.383497408944867e-05,202305,229,True,False
2023-05-02,4.5919039654424565e-05,202305,229,True,False
2023-05-03,2.6538017247282652e-05,202305,229,True,False
2023-05-04,4.5071080556103796e-05,202305,229,True,False
2023-05-05,4.9553295493611586e-05,202305,230,True,False
2023-05-08,2.3149081403738918e-05,202305,229,True,False
2023-05-09,2.4043214346572843e-05,202305,229,True,False
2023-05-10,2.773595148377553e-05,202305,229,True,False
2023-05-11,4.573519285547467e-05,202305,229,True,False
2023-05-12,4.216568717342916e-05,202305,229,True,False
2023-05-15,4.135262742972623e-05,202305,229,True,False
2023-05-16,2.9452474454753207e-05,202305,229,True,False
2023-05-17,4.045331900666144e-05,202305,229,True,False
2023-05-18,4.354587316042945e-05,202306,229,True,True
2023-05-19,4.812847417033433e-05,202306,229,True,False
2023-05-22,2.9296793164760056e-05,202306,229,True,False
2023-05-23,4.910699011059096e-05,202306,229,True,False
2023-05-24,2.8947337043078708e-05,202306,230,True,False
2023-05-25,0.00010365222888971431,202306,229,True,False
2023-05-26,5.5905771821428723e-05,202306,230,True,False
2023-05-29,4.0972802712953534e-05,202306,229,True,False
2023-05-30,2.6826530863900745e-05,202306,229,True,False
2023-05-31,7.017151526654376e-05,202306,229,True,False
2023-06-01,6.166988487194115e-05,202306,230,True,False
2023-06-02,3.907259699025025e-05,202306,229,True,False
2023-06-05,5.428002126268291e-05,202306,229,True,False
2023-06-06,4.122359828542609e-05,202306,230,True,False
2023-06-07,3.574310268145408e-05,202306,229,True,False
2023-06-08,4.434478857637205e-05,202306,229,True,False
