Date,MO
2017-03-08,39.08030319213867
2017-03-09,39.26066589355469
2017-03-10,39.39464569091797
2017-03-13,39.29594421386719
2017-03-14,39.134918212890625
2017-03-15,39.30632781982422
2017-03-16,39.1141357421875
2017-03-17,39.04141616821289
2017-03-20,39.259586334228516
2017-03-21,39.441383361816406
2017-03-22,38.994667053222656
2017-03-23,38.44925308227539
2017-03-24,38.00773239135742
2017-03-27,38.02330780029297
2017-03-28,38.01811599731445
2017-03-29,37.898624420166016
2017-03-30,37.42595291137695
2017-03-31,37.098697662353516
2017-04-03,37.20258712768555
2017-04-04,37.37399673461914
2017-04-05,37.36361312866211
2017-04-06,37.098697662353516
2017-04-07,37.249332427978516
2017-04-10,37.27531051635742
2017-04-11,37.44153594970703
2017-04-12,37.483089447021484
2017-04-13,37.0363655090332
2017-04-17,37.561004638671875
2017-04-18,37.57658004760742
2017-04-19,37.45710754394531
2017-04-20,37.0935173034668
2017-04-21,37.12466812133789
2017-04-24,37.685665130615234
2017-04-25,37.623321533203125
2017-04-26,37.14543914794922
2017-04-27,37.155826568603516
2017-04-28,37.28569793701172
2017-05-01,36.776641845703125
2017-05-02,36.79222869873047
2017-05-03,36.47536087036133
2017-05-04,36.522117614746094
2017-05-05,36.83897399902344
2017-05-08,36.729881286621094
2017-05-09,36.51173400878906
2017-05-10,36.522117614746094
2017-05-11,36.61042404174805
2017-05-12,36.69873046875
2017-05-15,36.70911407470703
2017-05-16,36.85455322265625
2017-05-17,36.646785736083984
2017-05-18,36.64159393310547
2017-05-19,36.82858657836914
2017-05-22,37.42074966430664
2017-05-23,37.467498779296875
2017-05-24,37.84150314331055
2017-05-25,38.5115852355957
2017-05-26,38.65184020996094
2017-05-30,38.994667053222656
2017-05-31,39.18686294555664
2017-06-01,39.166080474853516
2017-06-02,39.02063751220703
2017-06-05,38.989471435546875
2017-06-06,39.09856033325195
2017-06-07,39.27516174316406
2017-06-08,39.067386627197266
2017-06-09,39.19724655151367
2017-06-12,39.166080474853516
2017-06-13,39.2498664855957
2017-06-14,39.668819427490234
2017-06-15,40.01444625854492
2017-06-16,40.47005081176758
2017-06-19,40.695247650146484
2017-06-20,40.49623107910156
2017-06-21,40.33913040161133
2017-06-22,40.05111312866211
2017-06-23,40.05634307861328
2017-06-26,40.07728576660156
2017-06-27,39.47504806518555
2017-06-28,39.71595764160156
2017-06-29,38.96185302734375
2017-06-30,38.998504638671875
2017-07-03,39.02992630004883
2017-07-05,39.07181930541992
2017-07-06,38.919952392578125
2017-07-07,38.883304595947266
2017-07-10,38.59003829956055
2017-07-11,38.453887939453125
2017-07-12,38.69477081298828
2017-07-13,38.480064392089844
2017-07-14,38.71571350097656
2017-07-17,38.42245864868164
2017-07-18,38.401512145996094
2017-07-19,38.516727447509766
2017-07-20,38.537662506103516
2017-07-21,38.44863510131836
2017-07-24,38.0401725769043
2017-07-25,37.83069610595703
2017-07-26,37.56362533569336
2017-07-27,38.73143768310547
2017-07-28,35.05519104003906
2017-07-31,34.023536682128906
2017-08-01,34.301090240478516
2017-08-02,34.327274322509766
2017-08-03,34.32203674316406
2017-08-04,34.31156539916992
2017-08-07,34.55769348144531
2017-08-08,34.238250732421875
2017-08-09,34.20159912109375
2017-08-10,33.918792724609375
2017-08-11,33.67790603637695
2017-08-14,33.95545959472656
2017-08-15,34.19635772705078
2017-08-16,34.27490234375
2017-08-17,33.67267608642578
2017-08-18,33.35322570800781
2017-08-21,33.71981430053711
2017-08-22,33.54698944091797
2017-08-23,33.36369323730469
2017-08-24,33.306095123291016
2017-08-25,33.557472229003906
2017-08-28,33.47890853881836
2017-08-29,33.41606521606445
2017-08-30,33.541751861572266
2017-08-31,33.20136642456055
2017-09-01,33.2746696472168
2017-09-05,32.92380905151367
2017-09-06,33.13328170776367
2017-09-07,32.850486755371094
2017-09-08,32.588653564453125
2017-09-11,32.72480392456055
2017-09-12,32.730045318603516
2017-09-13,32.73528289794922
2017-09-14,32.962867736816406
2017-09-15,33.02108383178711
2017-09-18,33.11106872558594
2017-09-19,32.9364128112793
2017-09-20,32.4018440246582
2017-09-21,32.55003356933594
2017-09-22,33.074012756347656
2017-09-25,33.762054443359375
2017-09-26,34.1484375
2017-09-27,34.09021759033203
2017-09-28,33.97377395629883
2017-09-29,33.56623077392578
2017-10-02,33.291019439697266
2017-10-03,33.53976058959961
2017-10-04,33.6032829284668
2017-10-05,33.77263641357422
2017-10-06,33.105777740478516
2017-10-09,33.64562225341797
2017-10-10,34.40778732299805
2017-10-11,34.33367156982422
2017-10-12,34.587730407714844
2017-10-13,34.42893981933594
2017-10-16,34.59830856323242
2017-10-17,34.33367156982422
2017-10-18,34.30191421508789
2017-10-19,34.069053649902344
2017-10-20,34.4024772644043
2017-10-23,34.13784408569336
2017-10-24,33.942020416259766
2017-10-25,33.762054443359375
2017-10-26,34.82061004638672
2017-10-27,34.360130310058594
2017-10-30,33.89967346191406
2017-10-31,33.989646911621094
2017-11-01,34.24369812011719
2017-11-02,33.820289611816406
2017-11-03,33.82556915283203
2017-11-06,33.582122802734375
2017-11-07,34.03728485107422
2017-11-08,34.185482025146484
2017-11-09,34.14314270019531
2017-11-10,34.413055419921875
2017-11-13,34.84706497192383
2017-11-14,34.788841247558594
2017-11-15,34.54008102416992
2017-11-16,34.868221282958984
2017-11-17,35.1540412902832
2017-11-20,34.84177780151367
2017-11-21,34.74650192260742
2017-11-22,34.66181945800781
2017-11-24,34.65653991699219
2017-11-27,34.43952941894531
2017-11-28,35.143455505371094
2017-11-29,35.6568603515625
